Station;Longitude;Latitude;Géographie;JANVIERp;FEVRIERp;MARSp;AVRILp;MAIp;JUINp;JUILLETp;AOUTp;SEPTEMBREp;OCTOBREp;NOVEMBREp;DECEMBREp;Précipitations.annuelles;JANVIERnb.j.pl;FEVRIERnb.j.pl;MARSnb.j.pl;AVRILnb.j.pl;MAInb.j.pl;JUINnb.j.pl;JUILLETnb.j.pl;AOUTnb.j.pl;SEPTEMBREnb.j.pl;OCTOBREnb.j.pl;NOVEMBREnb.j.pl;DECEMBREnb.j.pl;Nombre.annuel.de.jours.de.pluie;Température.moyenne.annuelle;Amplitude.annuelle.des.températures;Insolation.annuelle
Ajaccio;8.7364;41.9256;Sud;78;69;51;39;43;23;10;15;43;81;105;96;653;12;10;9;9;8;4;1;2;6;10;11;13;95;14.71;14.5;2811
Angers;-0.55;47.4667;Ouest;65;50;60;45;50;55;35;60;55;65;80;70;690;16;13;12;12;13;10;11;11;12;13;15;16;154;11.28;14.5;1899
Angoulême;0.15;45.65;Ouest;79;68;64;62;70;58;53;66;69;70;79;88;826;16;14;13;12;14;11;12;12;12;13;15;16;160;12.02;14.9;1989
Besançon;6.03333;47.25;Est;94;87;75;74;86;107;80;116;106;78;92;93;1088;17;14;12;14;14;14;14;13;13;14;15;15;169;10.04;17.6;1897
Biarritz;-1.56667;43.4833;Ouest;128;105;98;102;100;91;69;123;155;152;175;176;1474;16;14;13;15;17;14;13;13;14;15;16;17;177;13.58;12.3;1921
Bordeaux;-0.566667;44.8333;Ouest;100;84;66;57;64;71;52;65;88;84;99;117;947;16;13;13;13;14;11;11;12;13;14;15;17;162;13.33;15.4;2076
Brest;-4.48333;48.4;Ouest;130;98;89;77;74;60;51;80;95;108;136;159;1157;22;16;15;15;14;13;14;15;16;19;20;22;201;10.77;10.2;1757
Caen;-0.35;49.1833;Nord;65;61;45;44;53;52;45;57;66;75;79;71;713;17;14;12;13;14;12;13;13;13;15;16;17;169;10.45;12.7;1777
Clermont-Ferrand;3.08333;45.7833;Est;28;27;30;41;78;79;48;70;58;43;39;30;571;12;11;9;12;12;12;9;10;10;11;12;12;132;10.94;16.8;1899
Dijon;5.01667;47.3167;Est;62;48;51;48;68;79;44;79;74;53;67;61;734;16;13;10;11;12;12;11;11;11;12;14;14;147;10.5;18.3;1934
Embrun;6.5;44.5667;Sud;61;55;55;48;47;63;41;65;60;60;81;62;698;9;9;8;9;11;10;7;8;8;9;10;10;108;9.49;18.4;2604
Grenoble;5.71667;45.1667;Est;80;79;69;69;83;94;74;96;88;85;90;98;1005;14;11;11;12;14;11;10;11;11;12;13;14;144;10.98;18.6;2100
Lille;3.06667;50.6333;Nord;45;43;38;37;45;57;62;64;53;56;56;56;612;18;14;13;14;13;12;13;13;14;14;16;17;171;9.73;14.7;1641
Limoges;1.25;45.85;Ouest;87;75;68;69;72;71;56;73;87;72;82;98;910;17;14;13;13;14;12;12;12;12;14;15;17;165;10.59;15.3;1853
Lyon;4.84139;45.7589;Est;53;50;60;54;67;84;55;104;86;73;80;62;828;15;12;11;11;13;11;10;11;11;12;14;14;145;11.36;18.6;2036
Marseille;5.37639;43.2967;Sud;36;49;40;35;38;33;13;27;65;67;69;61;533;8;6;7;6;7;4;2;4;6;8;8;10;76;14.23;17.8;2866
Montpellier;3.88333;43.6;Sud;56;59;69;46;47;41;20;52;78;125;70;73;736;8;6;8;8;9;5;3;6;7;9;9;10;88;13.89;17.1;2709
Nancy;6.2;48.6833;Est;66;58;43;45;62;70;58;76;65;52;59;67;721;16;13;12;13;13;13;12;13;12;13;15;16;161;9.5;17.5;1633
Nantes;-1.55;47.2167;Ouest;83;65;53;48;54;52;42;66;80;77;95;94;809;18;14;14;11;13;11;12;12;14;15;16;18;168;11.69;13.8;1901
Nice;7.25;43.7;Sud;67;83;71;70;39;37;21;38;83;109;158;92;868;9;7;8;9;8;5;2;4;7;9;9;9;86;14.84;15.2;2779
Nîmes;4.35;43.8333;Sud;52;53;57;45;50;40;25;40;75;100;83;60;680;8;6;9;8;9;6;4;6;7;9;10;10;92;14.18;17.9;2628
Orléans;1.9;47.9167;Ouest;57;48;43;46;52;54;47;54;51;54;61;54;621;16;13;12;12;13;11;11;12;12;13;15;16;156;10.53;15.7;1799
Paris;2.34445;48.86;Nord;53;48;40;45;53;57;54;61;54;50;58;51;624;17;14;12;13;12;12;12;13;13;13;15;16;162;11.18;15.7;1814
Perpignan;2.88333;42.6833;Sud;27;52;59;47;49;33;27;28;69;97;70;71;629;7;6;8;7;9;7;5;6;7;8;6;9;85;15.24;16.3;2603
Poitiers;0.333333;46.5833;Ouest;65;58;56;49;55;55;46;59;52;61;78;68;702;16;13;13;12;14;11;10;11;12;12;15;16;155;11.28;15.1;2024
Reims;4.03333;49.25;Est;43;44;42;37;52;53;47;58;54;43;52;50;575;17;15;12;13;13;13;12;13;12;13;16;16;165;10.06;16.4;1702
Rennes;-1.68333;48.0833;Ouest;57;50;45;43;46;48;36;57;53;60;73;66;634;18;14;14;12;13;11;12;12;13;15;16;18;168;11.13;13.1;1835
Rouen;1.08333;49.4333;Nord;65;58;50;44;50;57;49;67;70;72;68;66;716;17;15;12;12;13;12;12;13;13;15;16;18;168;10.34;14.2;1694
Saint-Quentin;3.28333;49.85;Nord;52;50;46;44;52;63;61;69;67;52;63;65;684;17;14;12;12;12;12;13;14;13;14;15;16;164;9.85;16.4;1661
Strasbourg;7.75;48.5833;Est;51;44;42;58;71;88;73;90;61;43;51;47;719;15;13;12;13;13;14;14;13;12;12;13;14;158;9.72;18.6;1696
Toulon;5.93333;43.1167;Sud;76;86;82;60;49;35;12;31;77;105;117;107;837;9;6;8;7;7;4;2;4;5;9;9;11;81;15.28;14;2917
Toulouse;1.43333;43.6;Sud;53;50;52;55;65;65;44;43;57;49;58;65;656;14;12;11;12;13;10;9;9;10;11;12;14;137;12.68;16.2;2081
Tours;0.683333;47.3833;Ouest;63;55;52;51;53;58;47;60;60;55;68;65;687;16;13;12;12;13;11;11;12;13;13;15;16;157;11.22;15.6;1859
Vichy;3.41667;46.1167;Est;50;45;51;52;84;84;63;86;75;58;58;55;761;17;14;12;13;14;12;11;12;12;13;15;16;161;10.72;16.9;1873
